83	A1	canon-law	/Users/felix/code/agents/canon/agents/opus-medium.md
92	A1	canon-law	/Users/felix/code/agents/canon/agents/opus-xhigh.md
91	A1	canon-law	/Users/felix/code/agents/canon/agents/sonnet-high.md
84	A1	canon-law	/Users/felix/code/agents/canon/agents/sonnet-low.md
98	A1	canon-law	/Users/felix/code/agents/canon/agents/sonnet-max.md
89	A1	canon-law	/Users/felix/code/agents/canon/agents/sonnet-medium.md
92	A1	canon-law	/Users/felix/code/agents/canon/agents/sonnet-xhigh.md
1264	A1	canon-law	/Users/felix/code/agents/canon/mantles/README.md
1169	A1	canon-law	/Users/felix/code/agents/canon/mantles/architect.md
534	A1	canon-law	/Users/felix/code/agents/canon/mantles/builder.md
585	A1	canon-law	/Users/felix/code/agents/canon/mantles/digger.md
1613	A1	canon-law	/Users/felix/code/agents/canon/mantles/dispatcher.md
697	A1	canon-law	/Users/felix/code/agents/canon/mantles/grand-architect.md
836	A1	canon-law	/Users/felix/code/agents/canon/mantles/mentat.md
79	A1	canon-law	/Users/felix/code/agents/canon/skills/architect/SKILL.md
79	A1	canon-law	/Users/felix/code/agents/canon/skills/builder/SKILL.md
79	A1	canon-law	/Users/felix/code/agents/canon/skills/digger/SKILL.md
79	A1	canon-law	/Users/felix/code/agents/canon/skills/dispatcher/SKILL.md
81	A1	canon-law	/Users/felix/code/agents/canon/skills/grand-architect/SKILL.md
5354	A1	canon-law	/Users/felix/code/agents/canon/work/DOCTRINE.md
186	A1	canon-law	/Users/felix/code/agents/canon/work/templates/brief.md
211	A1	canon-law	/Users/felix/code/agents/canon/work/templates/claude-md.md
50	A1	canon-law	/Users/felix/code/agents/canon/work/templates/decisions.md
99	A1	canon-law	/Users/felix/code/agents/canon/work/templates/issues.md
62	A1	canon-law	/Users/felix/code/agents/canon/work/templates/ledger.md
214	A1	canon-law	/Users/felix/code/agents/canon/work/templates/map.md
173	A1	canon-law	/Users/felix/code/agents/canon/work/templates/order.md
